Otimização: Bot_Donchian_MM_V31
Estratégia: Bot_Donchian_MM_V3
Data inicial: 08/05/2023
Data final: 08/08/2023
Otimizações: 864
ID;Ativo;Intervalo;Saldo;Lucro Liquido;Fator de Lucro;Lucro Bruto;Loss Bruto;Número op.;Op. Vencedoras;Op. Perdedoras;Op. Zeradas;Média de Lucro/Prejuízo;Maior lucro;Percentual de Op. Vencedoras;Média de tempo em op;Declínio Máx.(Topo ao Fundo);Declínio Máx.(Trade a Trade);TrueRangeXstop;QtdMinContratos;PeriodoDonchUm;DeslocamentoUm;StopLoss;
1;WINFUT;20 Segundo;1580;1580;1,07;25655;-24075;1373;744;609;20;0,87;200,00;54,19;00:00:00;-1.100,00;-480,00;1,00;5;2;1;250;
2;WINFUT;20 Segundo;-505;-505;0,97;18665;-19170;1073;546;502;25;0,90;200,00;50,89;00:00:00;-1.710,00;-415,00;1,00;5;2;2;250;
3;WINFUT;20 Segundo;1465;1465;1,09;18455;-16990;1017;533;452;32;0,92;170,00;52,41;00:00:00;-955,00;-480,00;1,00;5;2;3;250;
4;WINFUT;20 Segundo;-1110;-1110;0,94;16035;-17145;941;483;438;20;0,85;140,00;51,33;00:00:00;-1.890,00;-420,00;1,00;5;2;4;250;
5;WINFUT;20 Segundo;-95;-95;1,00;23990;-24085;1186;592;582;12;0,98;195,00;49,92;00:00:00;-1.135,00;-760,00;1,00;5;3;1;250;
6;WINFUT;20 Segundo;-950;-950;0,95;19420;-20370;980;460;508;12;1,05;200,00;46,94;00:00:00;-2.130,00;-640,00;1,00;5;3;2;250;
7;WINFUT;20 Segundo;-1495;-1495;0,92;17030;-18525;870;397;465;8;1,08;140,00;45,63;00:00:00;-1.940,00;-600,00;1,00;5;3;3;250;
8;WINFUT;20 Segundo;-1240;-1240;0,93;16925;-18165;852;401;445;6;1,03;160,00;47,07;00:00:00;-1.995,00;-415,00;1,00;5;3;4;250;
9;WINFUT;20 Segundo;-320;-320;0,99;24225;-24545;1099;507;588;4;1,14;215,00;46,13;00:00:00;-1.725,00;-590,00;1,00;5;4;1;250;
10;WINFUT;20 Segundo;-185;-185;0,99;20695;-20880;917;408;506;3;1,23;200,00;44,49;00:00:00;-2.665,00;-540,00;1,00;5;4;2;250;
11;WINFUT;20 Segundo;-1140;-1140;0,94;17350;-18490;796;342;453;1;1,24;165,00;42,96;00:00:00;-2.090,00;-535,00;1,00;5;4;3;250;
12;WINFUT;20 Segundo;-2880;-2880;0,84;15660;-18540;754;305;446;3;1,24;215,00;40,45;00:00:00;-3.370,00;-535,00;1,00;5;4;4;250;
13;WINFUT;20 Segundo;-500;-500;0,98;23765;-24265;1020;426;594;0;1,37;220,00;41,76;00:00:00;-3.165,00;-830,00;1,00;5;5;1;250;
14;WINFUT;20 Segundo;-740;-740;0,96;20185;-20925;876;369;506;1;1,32;215,00;42,12;00:00:00;-2.145,00;-595,00;1,00;5;5;2;250;
15;WINFUT;20 Segundo;-2380;-2380;0,87;16215;-18595;750;298;450;2;1,32;215,00;39,73;00:00:00;-3.245,00;-650,00;1,00;5;5;3;250;
16;WINFUT;20 Segundo;-2365;-2365;0,86;15035;-17400;695;269;424;2;1,36;215,00;38,71;00:00:00;-2.795,00;-715,00;1,00;5;5;4;250;
17;WINFUT;20 Segundo;2730;2730;1,11;26845;-24115;1302;814;452;36;0,62;200,00;62,52;00:00:00;-955,00;-350,00;1,50;5;2;1;250;
